German,English,German Sentence,Cloze Sentence,English Sentence,Image,Vocab Audio,Sentence Audio
Entschuldigung,"excuse, excuse me","Entschuldigung, können Sie mir helfen?","Entschuldigung, können Sie mir helfen?","__, können Sie mir helfen?",,media/azure-78791c4f-94e00ce5-d514e2e3-17bb2e50-a5c4f53a.mp3,media/azure-3308cd86-ade8d4c8-dded80c5-7276f86c-dde4689a.mp3
kommen (aus),to come (from),Ich komme aus Deutschland.,Ich komme aus Deutschland.,Ich __ aus Deutschland.,,media/azure-3755be94-b30126b9-d7af30eb-0f0167c4-65d83d5a.mp3,media/azure-592a4ec0-afe64804-80e84d17-ce28c62a-2b798f97.mp3
Frau,woman,Die Frau ist sehr nett.,Die Frau ist sehr nett.,__ ist sehr nett.,,media/azure-ad42c96e-490c687e-7156de96-7c6c80fa-718495e9.mp3,media/azure-97055b5a-5043593f-6619fa8f-33ea1ecf-a414b895.mp3
Herr,man,Der Herr trinkt Kaffee.,Der Herr trinkt Kaffee.,__ trinkt Kaffee.,,media/azure-8c762bba-f849052e-b4c2c474-ed5f7b75-da8e0be0.mp3,media/azure-88f3e464-df6f0045-64a12676-e1b4a96d-df7b70ce.mp3
heißen,to be called,Ich heiße Anna.,Ich heiße Anna.,Ich __ Anna.,,media/azure-62299bad-498f083a-2eabc171-d392aeb9-24a6c0d0.mp3,media/azure-d333dbb7-092a3dac-583d0c18-7ea07ade-476ad111.mp3
ich,I,Ich habe Hunger.,Ich habe Hunger.,__ habe Hunger.,,media/azure-4c7b8f87-3f4b6790-cebe08c7-66fb7a21-e2516d04.mp3,media/azure-24f6cb1f-2b57af4f-4e415171-23edf978-0c9af44a.mp3
"der Name, die Namen","name, names",Mein Name ist Max.,Mein Name ist Max.,Mein __ ist Max.,,media/azure-f4df05fb-73bf5e69-2de87417-e1cde1d3-ba279d8a.mp3,media/azure-0e944aa9-ae72f573-eed83271-ac2f0fa7-365c93e2.mp3
"das Land, die Länder","country, countries",Deutschland ist ein schönes Land.,Deutschland ist ein schönes Land.,Deutschland ist ein schönes __.&nbsp;,,media/azure-a1cbb6e7-88c6fafd-c54b7a64-0f376333-32189e29.mp3,media/azure-b05c9b5f-62215326-92c77b3b-4115b4cc-94641ccc.mp3
Deutschland,Germany,Ich wohne in Deutschland.,Ich wohne in Deutschland.,Ich wohne in __.,,media/azure-3201fc73-38715635-64895501-60cbd3cb-279bcc2b.mp3,media/azure-e758add4-fa70e18a-028e03e7-35dcd222-1019a3ea.mp3
die Türkei,Turkey,Die Türkei hat viele interessante Orte.,Die Türkei hat viele interessante Orte.,__ hat viele interessante Orte.,,media/azure-d11587e0-ca3d299f-13dc55ee-6086b806-50e85887.mp3,media/azure-eca3e4fb-ce11e0fb-0a3fea6d-aee94d1d-d68c81c2.mp3
Syrien,Syria,Syrien ist ein Land im Nahen Osten.,Syrien ist ein Land im Nahen Osten.,__ ist ein Land im Nahen Osten.,,media/azure-d77e6cfb-3fc1aa58-4cf865b6-8555e638-7652b809.mp3,media/azure-7631fab5-48f900e6-5cffedb8-764562b3-d738934c.mp3
Polen,Poland,Polen hat eine lange Geschichte.,Polen hat eine lange Geschichte.,__ hat eine lange Geschichte.,,media/azure-d53f8606-aa1b8d56-8543277a-679f832e-37ffa66f.mp3,media/azure-428dd0ae-37c4300e-004f2745-149e0713-0725e1b2.mp3
Bulgarien,Bulgaria,Bulgarien ist bekannt für seine Berge.,Bulgarien ist bekannt für seine Berge.,__ ist bekannt für seine Berge.,,media/azure-0010ae8f-bee492ec-60738a44-125a3162-6ed3fc29.mp3,media/azure-c26ad3c8-23a9d8f2-f91337a8-d6c21569-c9cc13f1.mp3
Spanien,Spain,Spanien hat schöne Strände.,Spanien hat schöne Strände.,__ hat schöne Strände.,,media/azure-448bb56d-bfc1bb73-d2733172-52ab9e40-a2116ac4.mp3,media/azure-35af0db5-69ff749c-c2e1cf82-9c127c54-1368010b.mp3
